,Region,0-5 ,5-10  ,10-15 ,15-20 ,20-25 ,25-30 ,30-35 ,35-40 ,40-45 ,45-50 ,50-55 ,55-60 ,60-65 ,65-70 ,70-75 ,75-80 ,80-85 ,85-90 ,90-95 ,Od 95 
36,Náchod,5425,5341,6155,5343,5409,6149,6596,6562,8320,8840,7240,6999,6646,7384,6946,4930,2766,1625,669,142
37,Olomouc,13030,12763,13123,10762,10135,13455,15607,16486,19921,19242,14583,14566,14057,14851,13400,9080,5571,3300,1240,269
38,Opava,9055,8894,9963,8450,8112,9965,11573,11745,14064,14277,11264,11723,11450,11590,9754,6248,4492,2210,775,173
39,Ostrava-město,16002,15212,17059,14729,14490,19019,22327,21282,24860,25408,21392,21638,18946,19816,17964,13351,7891,4044,1601,291
40,Pardubice,9439,9268,9712,7502,7945,10172,12297,12848,14904,14714,11128,10527,10131,10998,9635,6649,4324,2696,1063,185
41,Pelhřimov,3563,3466,3635,3351,3488,4222,4425,4696,5565,5837,4796,4742,4710,4697,4438,3177,1991,1058,377,64
42,Plzeň-jih,3290,3158,3515,2836,2842,3560,4036,4410,5330,5481,4118,4034,3764,4352,3887,2488,1413,767,277,57
43,Plzeň-město,10208,9798,10262,7963,7996,10990,14364,15294,16562,15755,12019,11641,11015,12137,10968,8656,5043,2873,1109,187
44,Plzeň-sever,4208,4188,4758,3821,3665,4794,5239,5680,6977,6928,5281,4963,4633,5093,4545,2901,1714,889,331,63
45,Prachatice,2575,2565,2776,2493,2435,3012,3161,3355,4045,4032,3373,3350,3353,3429,3024,1811,1126,608,205,51
46,Praha-východ,12195,14144,13694,9734,7622,8964,12063,14953,19420,17337,11717,10036,8513,9259,8476,5486,2874,1671,629,152
47,Praha-západ,9824,11118,10945,8140,6288,7308,9032,11245,14912,14074,9851,8530,6988,7732,7316,4678,2256,1333,584,131
48,Prostějov,5547,5440,6144,5141,4860,6127,6773,7316,9033,8906,6830,6913,6633,7059,6415,4495,2638,1490,611,133
49,Písek,3574,3541,3817,3281,3346,4067,4416,4461,5602,5781,4614,4598,4424,4937,4555,3055,1901,1093,444,81
50,Přerov,6377,5931,6973,5988,5851,7554,8195,8210,9885,10660,8943,8574,8197,8401,7535,5548,3407,1845,703,124
51,Příbram,6037,5930,6206,5410,5136,6321,7235,7649,9556,9556,7399,7477,7254,7721,7065,4393,2652,1535,593,111
52,Rakovník,2842,2910,3101,2518,2430,3026,3526,3799,4630,4589,3563,3551,3398,3858,3521,2171,1295,700,249,60
53,Rokycany,2603,2492,2647,2153,2148,2876,3286,3405,4094,4114,3287,3096,3002,3274,3005,1955,1098,661,249,44
54,Rychnov nad Kněžnou,4128,4066,4478,3816,3746,4710,4950,5214,6389,6587,5011,4867,4652,5211,4840,3205,1843,1104,444,72
55,Semily,3767,3637,4117,3482,3285,4300,4565,4603,5756,6081,4803,4653,4492,4942,4650,3178,1808,1162,466,68
56,Sokolov,4336,4276,5149,4245,4201,5317,5712,5687,6660,7139,6296,5941,5448,5614,5229,3096,2000,849,261,47
57,Strakonice,3547,3583,3932,3290,3067,3959,4426,4628,5667,5566,4624,4607,4567,4769,4159,2942,1804,980,350,65
58,Svitavy,5375,5187,5860,5096,5185,6383,6339,6638,8206,8679,6637,6519,6389,6862,6307,4041,2350,1392,473,82
59,Tachov,2853,2646,3042,2465,2565,3419,3899,3857,4366,4550,3694,3701,3449,3416,3028,1683,1052,490,171,43
60,Teplice,6367,6428,7522,6352,5914,7495,8333,8735,10559,11344,8847,8189,7369,8016,8047,4823,2697,1242,473,78
61,Trutnov,5614,5767,6603,5569,5456,6494,7153,7281,9369,9775,7946,7391,7010,8087,7983,4948,2735,1490,626,117
62,Tábor,5188,5095,5624,4764,4616,5806,6141,6648,8047,8357,6576,6603,6654,7023,6336,4135,2578,1562,601,97
63,Třebíč,5486,5375,5689,5227,5282,6787,6911,7197,8466,8889,7194,7423,7215,7288,6411,4324,2733,1663,664,113
64,Uherské Hradiště,7115,6802,7346,6466,6392,8261,8952,9468,11173,11400,9603,9607,9218,9000,8154,5730,3822,2175,795,151
65,Vsetín,7333,7120,7729,6685,6819,8589,9147,9139,11022,11538,9456,9754,8906,9013,8208,5813,3575,1998,729,130
66,Vyškov,5416,5185,5150,4159,3958,5351,6294,6808,8020,7401,5845,5667,5527,5706,4999,3372,2072,1218,492,95
67,Zlín,9713,9230,10270,8788,8444,10740,12394,12707,15566,15697,12209,12498,11995,12735,10923,7664,5059,3085,1049,194
68,Znojmo,6205,5714,6301,5418,5417,6990,7302,7669,9130,9366,7588,7182,7151,7594,6939,4060,2462,1410,521,133
69,Ústí nad Labem,6225,6188,7071,6132,5604,6990,7469,7642,9645,10266,7774,7242,6374,7311,7714,4435,2548,1383,511,127
70,Ústí nad Orlicí,7326,7094,7846,6758,6661,8301,8563,8714,11200,11398,8949,8580,8102,8950,8432,5348,3115,1849,682,143
71,Česká Lípa,5235,5376,6129,4942,5092,6032,6698,7043,8704,8546,6545,6425,6118,6685,6527,3444,2029,1018,335,75
72,Česká republika,567262,556957,595522,490450,477910,620925,718931,753310,893321,882586,691083,669733,625465,672418,621177,417201,244137,138490,53811,11088
73,České Budějovice,11152,10768,11068,8875,8393,11500,13547,13660,16412,16025,12606,12286,11682,12205,10912,7483,4191,2664,979,194
74,Český Krumlov,3236,3176,3648,3063,2925,3637,3974,4168,4992,5014,4031,3916,3883,3983,3568,2031,1178,619,222,56
75,Šumperk,6090,5811,6703,5607,5588,7027,7542,7280,9493,9857,7781,7542,7562,8237,7837,4682,3003,1608,602,115
76,Žďár nad Sázavou,6619,5905,6424,5776,5803,7365,7565,7551,8933,9335,7830,7779,7247,7110,6496,4771,3137,1606,564,125
